COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
85880,2011,1,26,0.98000,60.00000,48.00000, 54.00000
85880,2011,1,27,0.00000,60.00000,31.00000, 45.50000
85880,2011,1,28,0.00000,54.00000,31.00000, 42.50000
85880,2011,1,29,0.00000,67.00000,38.00000, 52.50000
85880,2011,1,30,0.00000,71.00000,40.00000, 55.50000
85880,2011,1,31,0.00000,69.00000,42.00000, 55.50000
85880,2011,2,1,0.00000,68.00000,50.00000, 59.00000
85880,2011,2,2,0.21000,71.00000,51.00000, 61.00000
85880,2011,2,3,0.00000,67.00000,42.00000, 54.50000
85880,2011,2,4,0.00000,57.00000,42.00000, 49.50000
85880,2011,2,5,0.84000,61.00000,44.00000, 52.50000
85880,2011,2,6,0.09000,62.00000,39.00000, 50.50000
85880,2011,2,7,0.00000,59.00000,39.00000, 49.00000
85880,2011,2,8,0.34000,52.00000,38.00000, 45.00000
85880,2011,2,9,0.00000,52.00000,31.00000, 41.50000
85880,2011,2,10,1.25000,55.00000,31.00000, 43.00000
85880,2011,2,11,0.00000,45.00000,38.00000, 41.50000
85880,2011,2,12,0.00000,53.00000,30.00000, 41.50000
85880,2011,2,13,0.00000,58.00000,30.00000, 44.00000
85880,2011,2,14,0.00000,65.00000,32.00000, 48.50000
85880,2011,2,15,0.00000,70.00000,36.00000, 53.00000
85880,2011,2,16,0.00000,70.00000,40.00000, 55.00000
85880,2011,2,17,0.00000,73.00000,43.00000, 58.00000
85880,2011,2,18,0.00000,75.00000,44.00000, 59.50000
85880,2011,2,19,0.00000,78.00000,44.00000, 61.00000
85880,2011,2,20,0.00000,79.00000,50.00000, 64.50000
85880,2011,2,21,0.00000,78.00000,52.00000, 65.00000
85880,2011,2,22,0.00000,75.00000,57.00000, 66.00000
85880,2011,2,23,0.00000,79.00000,54.00000, 66.50000
85880,2011,2,24,0.00000,78.00000,49.00000, 63.50000
85880,2011,2,25,0.00000,75.00000,50.00000, 62.50000
85880,2011,2,26,0.03000,77.00000,51.00000, 64.00000
85880,2011,2,27,0.00000,82.00000,55.00000, 68.50000
85880,2011,2,28,0.00000,76.00000,56.00000, 66.00000
85880,2011,2,29,-99.99000,-99.90000,-99.90000, -99.90000
85880,2011,3,1,0.06000,77.00000,60.00000, 68.50000
85880,2011,3,2,0.00000,70.00000,45.00000, 57.50000
85880,2011,3,3,0.00000,73.00000,45.00000, 59.00000
85880,2011,3,4,0.00000,76.00000,50.00000, 63.00000
85880,2011,3,5,0.00000,74.00000,57.00000, 65.50000
85880,2011,3,6,0.23000,74.00000,57.00000, 65.50000
85880,2011,3,7,0.01000,61.00000,42.00000, 51.50000
85880,2011,3,8,0.00000,60.00000,42.00000, 51.00000
85880,2011,3,9,0.00000,75.00000,45.00000, 60.00000
85880,2011,3,10,1.89000,74.00000,59.00000, 66.50000
85880,2011,3,11,0.14000,61.00000,37.00000, 49.00000
85880,2011,3,12,0.00000,62.00000,35.00000, 48.50000
85880,2011,3,13,0.00000,73.00000,35.00000, 54.00000
85880,2011,3,14,0.00000,77.00000,42.00000, 59.50000
85880,2011,3,15,0.00000,75.00000,45.00000, 60.00000
85880,2011,3,16,0.00000,74.00000,48.00000, 61.00000
85880,2011,3,17,0.00000,79.00000,47.00000, 63.00000
85880,2011,3,18,0.00000,80.00000,45.00000, 62.50000
85880,2011,3,19,0.00000,84.00000,49.00000, 66.50000
85880,2011,3,20,0.00000,87.00000,49.00000, 68.00000
85880,2011,3,21,0.00000,85.00000,52.00000, 68.50000
85880,2011,3,22,0.00000,83.00000,55.00000, 69.00000
85880,2011,3,23,0.00000,85.00000,57.00000, 71.00000
85880,2011,3,24,0.00000,79.00000,62.00000, 70.50000
85880,2011,3,25,0.00000,86.00000,47.00000, 66.50000
85880,2011,3,26,0.00000,79.00000,46.00000, 62.50000
85880,2011,3,27,0.00000,80.00000,60.00000, 70.00000
85880,2011,3,28,0.49000,80.00000,69.00000, 74.50000
85880,2011,3,29,0.48000,74.00000,51.00000, 62.50000
85880,2011,3,30,0.01000,64.00000,51.00000, 57.50000
85880,2011,3,31,1.49000,69.00000,61.00000, 65.00000
85880,2011,4,1,0.05000,68.00000,45.00000, 56.50000
85880,2011,4,2,0.00000,77.00000,44.00000, 60.50000
85880,2011,4,3,0.00000,78.00000,53.00000, 65.50000
85880,2011,4,4,0.00000,83.00000,49.00000, 66.00000
85880,2011,4,5,0.61000,79.00000,52.00000, 65.50000
85880,2011,4,6,0.00000,74.00000,41.00000, 57.50000
85880,2011,4,7,0.00000,75.00000,41.00000, 58.00000
85880,2011,4,8,0.00000,82.00000,46.00000, 64.00000
85880,2011,4,9,0.00000,81.00000,66.00000, 73.50000
85880,2011,4,10,0.00000,90.00000,60.00000, 75.00000
85880,2011,4,11,0.00000,89.00000,59.00000, 74.00000
85880,2011,4,12,0.05000,86.00000,59.00000, 72.50000
85880,2011,4,13,0.03000,80.00000,53.00000, 66.50000
85880,2011,4,14,0.00000,82.00000,51.00000, 66.50000
85880,2011,4,15,0.00000,83.00000,50.00000, 66.50000
85880,2011,4,16,0.02000,83.00000,61.00000, 72.00000
85880,2011,4,17,0.00000,84.00000,50.00000, 67.00000
85880,2011,4,18,0.00000,76.00000,49.00000, 62.50000
85880,2011,4,19,0.00000,83.00000,50.00000, 66.50000
85880,2011,4,20,0.00000,87.00000,63.00000, 75.00000
85880,2011,4,21,0.00000,88.00000,65.00000, 76.50000
85880,2011,4,22,0.00000,90.00000,66.00000, 78.00000
85880,2011,4,23,0.00000,87.00000,60.00000, 73.50000
85880,2011,4,24,0.00000,86.00000,61.00000, 73.50000
85880,2011,4,25,0.00000,86.00000,62.00000, 74.00000
85880,2011,4,26,0.00000,86.00000,64.00000, 75.00000
85880,2011,4,27,0.00000,87.00000,64.00000, 75.50000
85880,2011,4,28,0.00000,85.00000,68.00000, 76.50000
85880,2011,4,29,1.74000,77.00000,54.00000, 65.50000
85880,2011,4,30,0.00000,80.00000,51.00000, 65.50000
85880,2011,5,1,0.00000,86.00000,51.00000, 68.50000
85880,2011,5,2,0.00000,86.00000,56.00000, 71.00000
85880,2011,5,3,0.00000,87.00000,62.00000, 74.50000
85880,2011,5,4,0.00000,84.00000,59.00000, 71.50000
85880,2011,5,5,0.00000,76.00000,47.00000, 61.50000
85880,2011,5,6,0.00000,79.00000,47.00000, 63.00000
85880,2011,5,7,0.00000,82.00000,51.00000, 66.50000
85880,2011,5,8,0.00000,86.00000,51.00000, 68.50000
85880,2011,5,9,0.00000,88.00000,55.00000, 71.50000
85880,2011,5,10,0.00000,91.00000,67.00000, 79.00000
85880,2011,5,11,0.00000,94.00000,67.00000, 80.50000
85880,2011,5,12,0.00000,95.00000,65.00000, 80.00000
85880,2011,5,13,0.00000,95.00000,64.00000, 79.50000
85880,2011,5,14,0.14000,91.00000,64.00000, 77.50000
85880,2011,5,15,0.83000,85.00000,57.00000, 71.00000
85880,2011,5,16,0.00000,74.00000,51.00000, 62.50000
85880,2011,5,17,0.00000,74.00000,50.00000, 62.00000
85880,2011,5,18,0.00000,75.00000,46.00000, 60.50000
85880,2011,5,19,0.00000,79.00000,46.00000, 62.50000
85880,2011,5,20,0.00000,87.00000,50.00000, 68.50000
85880,2011,5,21,0.00000,93.00000,55.00000, 74.00000
85880,2011,5,22,0.00000,95.00000,64.00000, 79.50000
85880,2011,5,23,0.00000,95.00000,64.00000, 79.50000
85880,2011,5,24,0.00000,97.00000,64.00000, 80.50000
85880,2011,5,25,0.00000,94.00000,66.00000, 80.00000
85880,2011,5,26,0.00000,93.00000,67.00000, 80.00000
85880,2011,5,27,0.00000,90.00000,67.00000, 78.50000
85880,2011,5,28,0.06000,87.00000,68.00000, 77.50000
85880,2011,5,29,0.00000,93.00000,68.00000, 80.50000
85880,2011,5,30,0.00000,96.00000,67.00000, 81.50000
85880,2011,5,31,0.00000,93.00000,64.00000, 78.50000
85880,2011,6,1,0.00000,95.00000,64.00000, 79.50000
85880,2011,6,2,0.00000,99.00000,67.00000, 83.00000
85880,2011,6,3,0.00000,95.00000,67.00000, 81.00000
85880,2011,6,4,0.00000,98.00000,69.00000, 83.50000
85880,2011,6,5,0.13000,95.00000,70.00000, 82.50000
85880,2011,6,6,0.00000,96.00000,70.00000, 83.00000
85880,2011,6,7,0.49000,101.00000,69.00000, 85.00000
85880,2011,6,8,0.04000,92.00000,68.00000, 80.00000
85880,2011,6,9,0.00000,92.00000,63.00000, 77.50000
85880,2011,6,10,0.00000,91.00000,63.00000, 77.00000
85880,2011,6,11,0.00000,95.00000,66.00000, 80.50000
85880,2011,6,12,0.00000,95.00000,69.00000, 82.00000
